job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542369	bert-large-uncased	prototype	D2 (CBDC)	negative	0.3689	0.5734	0.449	1001	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D2 (CBDC)	neutral	0.4048	0.0119	0.0231	1430	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D2 (CBDC)	positive	0.3678	0.6455	0.4686	1103	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D2.5 (CBDC no-label-select)	negative	0.3881	0.5944	0.4696	1001	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D2.5 (CBDC no-label-select)	neutral	0.5051	0.0699	0.1229	1430	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D2.5 (CBDC no-label-select)	positive	0.3977	0.65	0.4935	1103	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D3 (debias_vl->CBDC)	negative	0.3614	0.5355	0.4316	1001	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D3 (debias_vl->CBDC)	neutral	0.4274	0.2469	0.3129	1430	candidate/logs/slurm_new_542369.log
542369	bert-large-uncased	prototype	D3 (debias_vl->CBDC)	positive	0.4131	0.4587	0.4347	1103	candidate/logs/slurm_new_542369.log
542370	roberta-large	prototype	B1 (raw)	negative	0.2829	0.7333	0.4082	1001	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	B1 (raw)	neutral	0.3876	0.1881	0.2533	1430	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	B1 (raw)	positive	0.3837	0.0852	0.1395	1103	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D1 (debias_vl)	negative	0.3	0.1199	0.1713	1001	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D1 (debias_vl)	neutral	0.3815	0.558	0.4532	1430	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D1 (debias_vl)	positive	0.2985	0.282	0.29	1103	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2 (CBDC)	negative	0.44	0.011	0.0214	1001	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2 (CBDC)	neutral	0.4087	0.9622	0.5737	1430	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2 (CBDC)	positive	0.3662	0.0471	0.0835	1103	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2.5 (CBDC no-label-select)	negative	0.3548	0.011	0.0213	1001	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2.5 (CBDC no-label-select)	neutral	0.408	0.9615	0.5729	1430	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D2.5 (CBDC no-label-select)	positive	0.3684	0.0444	0.0793	1103	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D3 (debias_vl->CBDC)	negative	0.2829	0.7333	0.4082	1001	candidate/logs/slurm_new_542370.log
542370	roberta-large	prototype	D3 (debias_vl->CBDC)	neutral	0.3858	0.1867	0.2516	1430	candidate/logs/slurm_new_542370.log
